Year,Value,State,Age
2014,52.2,Idaho,45 to 64
2012,65.4,Idaho,45 to 64
2010,68.9,Idaho,45 to 64
2020,73.4,Idaho,65+
2018,63.1,Idaho,65+
2016,74.7,Idaho,65+
2014,64.9,Idaho,65+
2012,79.5,Idaho,65+
2010,68.8,Idaho,65+
2020,68.4,Illinois,Total
2018,53,Illinois,Total
2016,63.8,Illinois,Total
2014,41.7,Illinois,Total
2012,61.5,Illinois,Total
2010,45.5,Illinois,Total
2020,55,Illinois,18 to 24
2018,30.9,Illinois,18 to 24
2016,46.8,Illinois,18 to 24
2014,15,Illinois,18 to 24
2012,35.3,Illinois,18 to 24
2010,20.6,Illinois,18 to 24
2020,58.5,Illinois,25 to 34
2018,42.9,Illinois,25 to 34
2016,54.5,Illinois,25 to 34
2014,27.8,Illinois,25 to 34
2012,57.2,Illinois,25 to 34
2010,37.3,Illinois,25 to 34
2020,69.5,Illinois,35 to 44
2018,48.4,Illinois,35 to 44
2016,60.9,Illinois,35 to 44
2014,33.7,Illinois,35 to 44
2012,58.9,Illinois,35 to 44
2010,55.7,Illinois,35 to 44
2020,73.3,Illinois,45 to 64
2018,60.9,Illinois,45 to 64
2016,71,Illinois,45 to 64
2014,53.8,Illinois,45 to 64
2012,69.3,Illinois,45 to 64
2010,60.7,Illinois,45 to 64
2020,75.2,Illinois,65+
2018,64.7,Illinois,65+
2016,73.2,Illinois,65+
2014,57.5,Illinois,65+
2012,70.7,Illinois,65+
2010,59.1,Illinois,65+
2020,61,Indiana,Total
2018,49.3,Indiana,Total
2016,58.3,Indiana,Total
2014,35.1,Indiana,Total
2012,59.3,Indiana,Total
2010,39.4,Indiana,Total
2020,38.8,Indiana,18 to 24
2018,31.1,Indiana,18 to 24
2016,43,Indiana,18 to 24
2014,18,Indiana,18 to 24
2012,36.4,Indiana,18 to 24
2010,9.9,Indiana,18 to 24
2020,52.8,Indiana,25 to 34
2018,36.3,Indiana,25 to 34
2016,50.2,Indiana,25 to 34
2014,20.2,Indiana,25 to 34
2012,44.5,Indiana,25 to 34
2010,31.8,Indiana,25 to 34
2020,58,Indiana,35 to 44
2018,47.3,Indiana,35 to 44
2016,59.7,Indiana,35 to 44
2014,27.8,Indiana,35 to 44
2012,52.4,Indiana,35 to 44
2010,50,Indiana,35 to 44
2020,64.9,Indiana,45 to 64
2018,56.8,Indiana,45 to 64
2016,62,Indiana,45 to 64
2014,40.6,Indiana,45 to 64
2012,70,Indiana,45 to 64
2010,58.9,Indiana,45 to 64
2020,75.1,Indiana,65+
2018,59.2,Indiana,65+
2016,67.7,Indiana,65+
2014,54.1,Indiana,65+
2012,73.3,Indiana,65+
2010,49.7,Indiana,65+
2020,70.5,Iowa,Total
2018,59.6,Iowa,Total
2016,63.4,Iowa,Total
2014,52.9,Iowa,Total
2012,69.4,Iowa,Total
2010,52.3,Iowa,Total
2020,63.3,Iowa,18 to 24
2018,34.2,Iowa,18 to 24
2016,37.6,Iowa,18 to 24
2014,20.2,Iowa,18 to 24
2012,49.9,Iowa,18 to 24
2010,25.2,Iowa,18 to 24
2020,62.7,Iowa,25 to 34
2018,47.9,Iowa,25 to 34
2016,59.5,Iowa,25 to 34
2014,33.9,Iowa,25 to 34
2012,62.8,Iowa,25 to 34
2010,44.8,Iowa,25 to 34
2020,69.8,Iowa,35 to 44
2018,56.8,Iowa,35 to 44
2016,60.2,Iowa,35 to 44
2014,54.5,Iowa,35 to 44
2012,66.5,Iowa,35 to 44
2010,61.4,Iowa,35 to 44
2020,72.3,Iowa,45 to 64
2018,63.1,Iowa,45 to 64
2016,66.2,Iowa,45 to 64
2014,60.2,Iowa,45 to 64
2012,72.2,Iowa,45 to 64
2010,69.6,Iowa,45 to 64
2020,76.8,Iowa,65+
2018,77.4,Iowa,65+
2016,78,Iowa,65+
2014,73.3,Iowa,65+
2012,82.8,Iowa,65+
2010,62.1,Iowa,65+
2020,65.7,Kansas,Total
2018,56.9,Kansas,Total
2016,61.3,Kansas,Total
2014,48.3,Kansas,Total
2012,63.3,Kansas,Total
2010,47.2,Kansas,Total
2020,53.4,Kansas,18 to 24
2018,37.7,Kansas,18 to 24
2016,35.8,Kansas,18 to 24
2014,14.3,Kansas,18 to 24
2012,33.7,Kansas,18 to 24
2010,11.7,Kansas,18 to 24
2020,57.8,Kansas,25 to 34
2018,41.8,Kansas,25 to 34
2016,50.8,Kansas,25 to 34
2014,29.2,Kansas,25 to 34
2012,47.9,Kansas,25 to 34
2010,37.4,Kansas,25 to 34
2020,67,Kansas,35 to 44
2018,53.7,Kansas,35 to 44
2016,66.7,Kansas,35 to 44
2014,44.6,Kansas,35 to 44
2012,63,Kansas,35 to 44
2010,59.7,Kansas,35 to 44
2020,64.6,Kansas,45 to 64
2018,63.9,Kansas,45 to 64
2016,65.2,Kansas,45 to 64
2014,61.4,Kansas,45 to 64
2012,74.2,Kansas,45 to 64
2010,72,Kansas,45 to 64
2020,77.5,Kansas,65+
2018,70.2,Kansas,65+
2016,75.2,Kansas,65+
2014,66,Kansas,65+
2012,78.3,Kansas,65+
2010,61.6,Kansas,65+
2020,68.5,Kentucky,Total
2018,53.8,Kentucky,Total
2016,57,Kentucky,Total
2014,47.5,Kentucky,Total
2012,59.3,Kentucky,Total
2010,46.8,Kentucky,Total
2020,59.3,Kentucky,18 to 24
2018,24.2,Kentucky,18 to 24
2016,53.9,Kentucky,18 to 24
2014,24.9,Kentucky,18 to 24
2012,37.9,Kentucky,18 to 24
2010,19.7,Kentucky,18 to 24
2020,54.3,Kentucky,25 to 34
2018,46.5,Kentucky,25 to 34
2016,55.1,Kentucky,25 to 34
2014,38.9,Kentucky,25 to 34
2012,51,Kentucky,25 to 34
2010,38.4,Kentucky,25 to 34
2020,72.5,Kentucky,35 to 44
2018,50.1,Kentucky,35 to 44
2016,56.7,Kentucky,35 to 44
2014,48.1,Kentucky,35 to 44
2012,61.7,Kentucky,35 to 44
2010,53.1,Kentucky,35 to 44
2020,70.8,Kentucky,45 to 64
2018,63.1,Kentucky,45 to 64
2016,57.2,Kentucky,45 to 64
2014,52.8,Kentucky,45 to 64
2012,65.7,Kentucky,45 to 64
2010,67.3,Kentucky,45 to 64
2020,74.4,Kentucky,65+
2018,63.5,Kentucky,65+
2016,60.2,Kentucky,65+
2014,59.2,Kentucky,65+
2012,67.1,Kentucky,65+
2010,69.7,Kentucky,65+
2020,61.9,Louisiana,Total
2018,49.8,Louisiana,Total
2016,61.6,Louisiana,Total
2014,50.2,Louisiana,Total
2012,66.3,Louisiana,Total
2010,50,Louisiana,Total
2020,46.9,Louisiana,18 to 24
2018,25.2,Louisiana,18 to 24
2016,49.8,Louisiana,18 to 24
2014,27.2,Louisiana,18 to 24
2012,42,Louisiana,18 to 24
2010,24.2,Louisiana,18 to 24
2020,51.5,Louisiana,25 to 34
2018,39.5,Louisiana,25 to 34
2016,52.8,Louisiana,25 to 34
2014,38.1,Louisiana,25 to 34
2012,66.9,Louisiana,25 to 34
2010,41.9,Louisiana,25 to 34
2020,63.2,Louisiana,35 to 44
2018,44.8,Louisiana,35 to 44
2016,60.4,Louisiana,35 to 44
2014,39.6,Louisiana,35 to 44
2012,64.6,Louisiana,35 to 44
2010,61.3,Louisiana,35 to 44
2020,65.9,Louisiana,45 to 64
2018,56.9,Louisiana,45 to 64
2016,66.9,Louisiana,45 to 64
2014,60.5,Louisiana,45 to 64
2012,71.4,Louisiana,45 to 64
2010,65.1,Louisiana,45 to 64
2020,70.4,Louisiana,65+
2018,64.3,Louisiana,65+
2016,70.2,Louisiana,65+
2014,68.5,Louisiana,65+
2012,74.7,Louisiana,65+
2010,63.8,Louisiana,65+
2020,71.3,Maine,Total
2018,65.6,Maine,Total
2016,72.7,Maine,Total
2014,61.5,Maine,Total
2012,68.6,Maine,Total
2010,59.4,Maine,Total
2020,63.1,Maine,18 to 24
2018,29.2,Maine,18 to 24
2016,49.4,Maine,18 to 24
2014,31,Maine,18 to 24
2012,42.8,Maine,18 to 24
2010,31.4,Maine,18 to 24
2020,65,Maine,25 to 34
2018,51.3,Maine,25 to 34
2016,61.8,Maine,25 to 34
2014,44,Maine,25 to 34
2012,59.5,Maine,25 to 34
2010,45.5,Maine,25 to 34
2020,70.8,Maine,35 to 44
2018,62.9,Maine,35 to 44
2016,69.6,Maine,35 to 44
2014,60.1,Maine,35 to 44
2012,67.8,Maine,35 to 44
2010,69.3,Maine,35 to 44
2020,72.7,Maine,45 to 64
2018,72.1,Maine,45 to 64
2016,78.2,Maine,45 to 64
2014,68.7,Maine,45 to 64
2012,73.7,Maine,45 to 64
2010,76.8,Maine,45 to 64
2020,75.7,Maine,65+
2018,78.9,Maine,65+
2016,82,Maine,65+
2014,74.7,Maine,65+
2012,79.2,Maine,65+
2010,74.1,Maine,65+
2020,73.6,Maryland,Total
2018,54.2,Maryland,Total
2016,65.8,Maryland,Total
2014,48.9,Maryland,Total
2012,65.1,Maryland,Total
2010,46.8,Maryland,Total
2020,70.7,Maryland,18 to 24
2018,37.7,Maryland,18 to 24
2016,54.3,Maryland,18 to 24
2014,24.5,Maryland,18 to 24
2012,44.1,Maryland,18 to 24
2010,22.3,Maryland,18 to 24
2020,67.3,Maryland,25 to 34
2018,43.8,Maryland,25 to 34
2016,59.7,Maryland,25 to 34
2014,32.3,Maryland,25 to 34
2012,63.3,Maryland,25 to 34
2010,37.6,Maryland,25 to 34
2020,76,Maryland,35 to 44
2018,55.2,Maryland,35 to 44
2016,63.6,Maryland,35 to 44
2014,50,Maryland,35 to 44
2012,67.1,Maryland,35 to 44
2010,57.1,Maryland,35 to 44
2020,74.6,Maryland,45 to 64
2018,60.7,Maryland,45 to 64
2016,71.4,Maryland,45 to 64
2014,57.6,Maryland,45 to 64
2012,70.7,Maryland,45 to 64
2010,64.2,Maryland,45 to 64
2020,76.4,Maryland,65+
2018,61.4,Maryland,65+
2016,68.1,Maryland,65+
2014,62.3,Maryland,65+
2012,69.8,Maryland,65+
2010,49.8,Maryland,65+
2020,66.3,Massachusetts,Total
2018,55.5,Massachusetts,Total
2016,66.7,Massachusetts,Total
2014,46.9,Massachusetts,Total
2012,70.8,Massachusetts,Total
2010,52.2,Massachusetts,Total
2020,55.2,Massachusetts,18 to 24
2018,33.9,Massachusetts,18 to 24
2016,42.8,Massachusetts,18 to 24
2014,20.3,Massachusetts,18 to 24
2012,49.9,Massachusetts,18 to 24
2010,22.4,Massachusetts,18 to 24
2020,60.3,Massachusetts,25 to 34
2018,46.1,Massachusetts,25 to 34
2016,60.4,Massachusetts,25 to 34
2014,27.5,Massachusetts,25 to 34
2012,63.8,Massachusetts,25 to 34
2010,43.2,Massachusetts,25 to 34
